Iteration;Best Fitness;Average Fitness;Worst Fitness
53;100953;82294;61581
54;100953;63841;61581
55;100953;80103;61581
56;100953;98953;61581
57;100953;75185;61581
58;100953;93286;61581
59;100953;83960;61581
60;100953;74098;61581
61;100953;82070;61581
62;100953;79326;61581
63;100953;83065;61581
64;100953;81813;61581
65;100953;97028;61581
66;100953;69978;61581
67;100953;78932;61581
68;100953;82298;61581
69;100953;78142;61581
70;100953;86680;61581
71;100953;93912;61581
72;100953;79961;61581
73;100953;89564;61581
74;100953;88038;61581
75;100953;91647;61581
76;100953;87736;61581
77;100953;86877;61581
78;100953;75833;61581
79;100953;79241;61581
80;100953;87174;61581
81;100953;86906;61581
82;100953;79107;61581
83;100953;73297;61581
84;100953;86220;61581
85;100953;80491;61581
86;100953;86596;61581
87;100953;67897;61581
88;100953;76815;61581
89;100953;75358;61581
90;100953;77204;61581
91;100953;77408;61581
92;100953;77747;61581
93;100953;75214;61581
94;100953;74373;61581
95;100953;87958;61581
96;100953;82221;61581
97;100953;76322;61581
98;100953;57479;57479
99;100953;73425;57479
100;100953;92275;57479
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;80377;80377;80377
2;83796;83796;80377
3;95112;95112;80377
4;95112;77844;77844
5;95112;82358;77844
6;95112;70917;70917
7;95112;73479;70917
8;95112;90056;70917
9;96051;96051;70917
10;96051;76591;70917
11;96051;88838;70917
12;96051;76248;70917
13;96051;71491;70917
14;96051;79265;70917
15;96051;89862;70917
16;96051;73168;70917
17;96051;88640;70917
18;102029;102029;70917
19;102029;93423;70917
20;102029;94504;70917
21;102029;90735;70917
22;102029;92058;70917
23;102029;76625;70917
24;102029;76969;70917
25;102029;63821;63821
26;102029;80790;63821
27;102029;82524;63821
28;102029;88747;63821
29;102029;91220;63821
30;102029;89454;63821
31;102029;83175;63821
32;102029;66450;63821
33;102029;88966;63821
34;102029;84248;63821
35;102029;97817;63821
36;102029;67838;63821
37;102029;74371;63821
38;102029;78282;63821
39;102029;92882;63821
40;102029;76635;63821
41;102029;82957;63821
42;102029;87085;63821
43;102029;82163;63821
44;102029;73356;63821
45;102029;80880;63821
46;102029;66055;63821
47;102029;74416;63821
48;102029;79079;63821
49;102029;96640;63821
50;102029;77938;63821
51;102029;83637;63821
52;102029;91966;63821
53;102029;80803;63821
54;102029;71215;63821
55;102029;88495;63821
56;102029;77819;63821
57;102029;85986;63821
58;102029;86857;63821
59;102029;72705;63821
60;102029;85525;63821
61;102029;92736;63821
62;102029;90579;63821
63;102029;86168;63821
64;102029;77401;63821
65;102029;93057;63821
66;102029;79926;63821
67;102029;96341;63821
68;102029;87168;63821
69;102029;88387;63821
70;102029;85797;63821
71;102029;85768;63821
72;102029;81625;63821
73;102029;97850;63821
74;102029;96479;63821
75;102029;80439;63821
76;102029;93828;63821
77;102029;77032;63821
78;102029;63378;63378
79;102029;80613;63378
80;102029;77944;63378
81;102029;83513;63378
82;102029;92307;63378
83;102029;91770;63378
84;102029;77832;63378
85;102029;71050;63378
86;102029;83760;63378
87;102029;88250;63378
88;102029;86316;63378
89;102029;94134;63378
90;102029;72525;63378
91;102029;87201;63378
92;102029;86581;63378
93;102029;73973;63378
94;102029;90610;63378
95;102029;73842;63378
96;102029;86275;63378
97;102029;69140;63378
98;102029;93402;63378
99;102029;85847;63378
100;102029;77412;63378
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;82437;82437;82437
2;83991;83991;82437
3;83991;77389;77389
4;83991;79212;77389
5;83991;60095;60095
6;83991;81034;60095
7;83991;73707;60095
8;96287;96287;60095
9;96287;75005;60095
10;96287;74630;60095
11;96287;86906;60095
12;96287;85659;60095
13;96287;64755;60095
14;96287;79026;60095
15;96287;77830;60095
16;96287;76396;60095
17;96287;89405;60095
18;96287;76932;60095
19;96287;80303;60095
20;96287;89069;60095
21;96287;76226;60095
